NC,Other,pvalue
North Carolina,Alabama,3.85e-70
North Carolina,Alaska,5.65e-146
North Carolina,Arizona,8.68e-12
North Carolina,Arkansas,4.70e-103
North Carolina,California,1.84e-122
North Carolina,Colorado,2.24e-21
North Carolina,Connecticut,1.41e-51
North Carolina,Delaware,1.04e-139
North Carolina,District of Columbia,2.22e-143
North Carolina,Florida,1.20e-59
North Carolina,Georgia,1.94e-02
North Carolina,Hawaii,8.95e-122
North Carolina,Idaho,3.07e-131
North Carolina,Illinois,2.11e-08
North Carolina,Indiana,1.13e-29
North Carolina,Iowa,1.96e-87
North Carolina,Kansas,2.90e-98
North Carolina,Kentucky,4.46e-66
North Carolina,Louisiana,5.98e-72
North Carolina,Maine,3.58e-125
North Carolina,Maryland,6.60e-13
North Carolina,Massachusetts,2.69e-04
North Carolina,Michigan,7.25e-02
North Carolina,Minnesota,1.62e-23
North Carolina,Mississippi,3.40e-109
North Carolina,Missouri,1.23e-36
North Carolina,Montana,9.18e-142
North Carolina,Nebraska,3.67e-121
North Carolina,Nevada,1.85e-93
North Carolina,New Hampshire,7.84e-127
North Carolina,New Jersey,9.19e-01
North Carolina,New Mexico,2.17e-105
North Carolina,New York State,3.30e-59
North Carolina,North Dakota,9.92e-145
North Carolina,Ohio,8.36e-01
North Carolina,Oklahoma,5.17e-77
North Carolina,Oregon,7.65e-49
North Carolina,Pennsylvania,8.55e-09
North Carolina,Rhode Island,8.41e-135
North Carolina,South Carolina,1.76e-52
North Carolina,South Dakota,2.76e-143
North Carolina,Tennessee,2.67e-26
North Carolina,Texas,9.71e-91
North Carolina,Utah,1.57e-86
North Carolina,Vermont,5.47e-143
North Carolina,Virginia,8.46e-01
North Carolina,Washington,6.52e-04
North Carolina,West Virginia,5.63e-120
North Carolina,Wisconsin,4.92e-25
North Carolina,Wyoming,3.66e-147
